PLK4	FAM46B
FAM46B	PLK4
CDKN2B-AS1	ADAMTS1
ZXDC	C3orf22
C3orf22	ZXDC
CYP4V2	SORBS2
SORBS2	CYP4V2
GPD2	NUFIP1
NUFIP1	GPD2
ANKRD16	SPRED2
SPRED2	ANKRD16
RUNX1T1	SPRY2
SPRY2	RUNX1T1
SERTAD2	TRIM28
TRIM28	SERTAD2
GRK6	IGF1R
IGF1R	GRK6
PPP2CA	SPRY2
SPRY2	PPP2CA
TCF7L2	VTI1A
VTI1A	TCF7L2
FSCN1	RNF216
RNF216	FSCN1
IQGAP1	ACTB
CD70	UCKL1
UCKL1	CD70
RBPMS	SEMA4G
SEMA4G	RBPMS
TFAP2A	CITED2
PRPF4B	LSM4
LSM4	PRPF4B
GAD1	CNDP1
KRAS	RPS29
RPS29	KRAS
MYCBP2	WNK1
WNK1	MYCBP2
CSF2	HNRNPD
HNRNPD	CSF2
NANS	TRIM14
TRIM14	NANS
FUT8	MTF2
MTF2	FUT8
ATXN1	RBPMS
C20orf194	ADAM33
ADAM33	C20orf194
TEK	GRB14
IGF2BP3	IMMT
IMMT	IGF2BP3
IGF1R	IGF2BP3
IGF2BP3	IGF1R
EIF3F	EIF3H
EIF3H	EIF3F
TOP3A	CCDC69
CCDC69	TOP3A
FLNB	PLEC
PLEC	FLNB
PLCG2	PLCB1
PLCB1	PLCG2
DLG1	KCNAB1
KCNAB1	DLG1
RP11-296A18.3	RNF11
BRAF	RPS6KA2
RPS6KA2	BRAF
AC007246.3	MAP4K3
FBXW7	CDH19
CDH19	FBXW7
CENPF	COG6
COG6	CENPF
KAT6A	PHF14
PHF14	KAT6A
RAPGEF2	C11orf30
C11orf30	RAPGEF2
BMPR1B	SMAD1
GFER	MRPL19
MRPL19	GFER
PABPC1	WNK1
WNK1	PABPC1
BAG2	KIAA1109
KIAA1109	BAG2
ADCY3	PDE4A
PDE4A	ADCY3
NCOA2	IRAK3
IRAK3	NCOA2
NTRK3	SH3BP4
SH3BP4	NTRK3
TNFAIP3	LNX1
LNX1	TNFAIP3
SGCE	ASB4
ASB4	SGCE
CDKN2B-AS1	RNLS
UBC	WWP1
WWP1	UBC
NR4A2	RARB
RARB	NR4A2
BCL6	SENP7
SENP7	BCL6
DYNC1I1	FBP1
ACTN1	SSX2IP
ADH1C	AKR1B1
AKR1B1	ADH1C
BLM	TOP3A
TOP3A	BLM
EPPK1	GRINA
GRINA	EPPK1
MEF2D	PTRF
PTRF	MEF2D
CDCP1	LIMD1
SLC14A2	CMTM7
CMTM7	SLC14A2
ADCK3	CDC42BPA
CDC42BPA	ADCK3
AKAP2	TMOD3
TMOD3	AKAP2
DLGAP4	MPP5
MPP5	DLGAP4
IL6R	SRC
KCTD3	KCTD15
KCTD15	KCTD3
LZTS1	CCDC13
CCDC13	LZTS1
EPHA1	KIF14
KIF14	EPHA1
NDUFB6	ACO1
MYO1C	TMOD3
TMOD3	MYO1C
EPB41L1	GRIA1
LASP1	YES1
YES1	LASP1
ATXN1	FAM193B
FAM193B	ATXN1
NUDT21	PPIL1
PPIL1	NUDT21
CSF2RB	SYK
ACTB	SMAD3
DLG1	EPB41
7SK	HEXIM1
SGCE	COL1A2
COL1A2	SGCE
PLEC	IQGAP1
IQGAP1	PLEC
SPTBN1	TNIK
TNIK	SPTBN1
ZNF512B	ZBTB46
ZBTB46	ZNF512B
KRAS	URI1
URI1	KRAS
AC074363.1	XIRP2
PLCG2	ITK
FLNB	AKAP2
AKAP2	FLNB
SSB	PMVK
PMVK	SSB
FECH	TMOD3
TMOD3	FECH
CBL	ASAP1
ASAP1	CBL
KIAA1549	TRIM24
TRIM24	KIAA1549
RP11-10L12.4	SLC39A8
ALDH3B1	ZADH2
ZADH2	ALDH3B1
PCNA	UBE2M
UBE2M	PCNA
SOX17	RPL38
ANKRD28	BTD
TACC1	DTNBP1
DTNBP1	TACC1
RPN1	RPS6
RPS6	RPN1
ACVR2A	RNF11
RNF11	ACVR2A
NCK1	UBR4
UBR4	NCK1
BMP6	BMPR1B
BMPR1B	BMP6
ADD3	HDAC11
HDAC11	ADD3
LDB2	LMO3
LMO3	LDB2
PTK2	APC
C1orf198	C1orf131
C1orf131	C1orf198
ABLIM3	KANK2
KANK2	ABLIM3
CDKN2AIP	FAM117B
FAM117B	CDKN2AIP
GYPB	EIF2B5
EIF2B5	GYPB
P4HA2	GTSE1
GTSE1	P4HA2
GNAI2	PRKCE
MED16	MED13L
MED13L	MED16
RP11-517H2.6	RNASET2
CAPZB	MYO1C
MYO1C	CAPZB
ATP2B2	GOLM1
GOLM1	ATP2B2
REL	RGS3
RGS3	REL
RPL5	RPS29
RPS29	RPL5
IL2RA	CD4
ANXA5	TNIP3
TNIP3	ANXA5
ANK1	PLAT
PDLIM7	RASGEF1B
RASGEF1B	PDLIM7
SDR16C5	RDH8
GRK5	RGS10
MRPL35	MRPL48
MRPL48	MRPL35
GNB2L1	STAT1
DEK	TFAP2A
TNIK	CYCS
CYCS	TNIK
RPL38	IPO8
IPO8	RPL38
GUCY1A2	PDE10A
YWHAZ	SF3B1
SF3B1	YWHAZ
TGM2	GSTP1
MRPL1	CNOT6L
VAPA	OSBPL9
OSBPL9	VAPA
LMO2	LZTS1
RBM11	NRIP1
NRIP1	RBM11
NEU4	RBPMS
PITPNM3	WSCD1
WSCD1	PITPNM3
ABL2	SORBS2
PLCB2	PLCB1
PLCB1	PLCB2
TCF12	ZWINT
ZWINT	TCF12
PLEKHA5	CCDC88B
CCDC88B	PLEKHA5
SLC5A8	ANO4
ANO4	SLC5A8
ZNF397	ZNF496
ZNF496	ZNF397
ZFAND3	DNAH8
DNAH8	ZFAND3
CAV3	REEP1
REEP1	CAV3
CDKN2A	PTEN
PTEN	CDKN2A
EVC	STK32B
STK32B	EVC
SORBS1	PDLIM1
LPAR1	LPHN3
LPHN3	LPAR1
TP63	SETDB1
SETDB1	TP63
RP11-231D20.2	ANK1
PCBP1	TNIK
TNIK	PCBP1
AC010127.3	SCN7A
UBR2	TRERF1
TRERF1	UBR2
P4HA2	MCM8
MCM8	P4HA2
CD70	NARS2
NARS2	CD70
TP63	PIWIL1
PIWIL1	TP63
C8orf34	PREX2
PREX2	C8orf34
ATP6V0A1	CHMP4B
CHMP4B	ATP6V0A1
FAT3	C4orf26
C4orf26	FAT3
PID1	GOPC
GOPC	PID1
CLINT1	MBOAT1
MBOAT1	CLINT1
AGR3	ANKMY2
ANKMY2	AGR3
SF1	CDKN2AIP
CDKN2AIP	SF1
CDH4	CTNNA3
CTNNA3	CDH4
PRKD1	YWHAZ
YWHAZ	PRKD1
PPP2R2B	RPL21
RPL21	PPP2R2B
XPO4	IFT88
MAT2A	SAP18
SAP18	MAT2A
DDAH1	COL24A1
COL24A1	DDAH1
GNAQ	EXOC6
EXOC6	GNAQ
NCK2	ARHGEF7
ARHGEF7	NCK2
DPYD	SNX7
FLNB	MYO19
MYO19	FLNB
RP11-27N21.3	RP11-26J3.1
RP11-26J3.1	RP11-27N21.3
FBXL17	ZBTB46
ZBTB46	FBXL17
Y_RNA	ATP6V0A1
TMOD3	LONP2
LONP2	TMOD3
IL6R	MAGI1
CD82	TFAP2A
TFAP2A	CD82
C1orf198	AGXT
AGXT	C1orf198
PRPF4B	PABPC1
PABPC1	PRPF4B
CBL	SH3GL2
SH3GL2	ARHGAP8
ARHGAP8	SH3GL2
PRKCB	PTGER4
PTGER4	PRKCB
XRCC1	PCNA
RASGRF1	YWHAQ
YWHAQ	RASGRF1
RP11-421L21.3	DPH5
FAM86C1	SHANK2
SHANK2	FAM86C1
SLIT2	ROBO2
SUMF1	ITPR1
ITPR1	SUMF1
RFC3	NBEA
NBEA	RFC3
LYN	EVL
C1D	THRB
RUNX2	ETS1
ETS1	RUNX2
ATM	DYRK2
KRAS	WBSCR17
WBSCR17	KRAS
HAS2-AS1	HAS2
USP25	PUS10
PUS10	USP25
CKAP2L	PSD4
PSD4	CKAP2L
BCL7A	CAP1
CAP1	BCL7A
CEP55	PLEKHG6
PLEKHG6	CEP55
GRB10	GIGYF2
GIGYF2	GRB10
SIRPG	SIRPA
SIRPA	SIRPG
KNDC1	LRRC27
LRRC27	KNDC1
PIM1	CXCR4
CXCR4	PIM1
UBE2H	TRIM36
TRIM36	UBE2H
SGCD	SGCE
SGCE	SGCD
GTSE1	FAM83H
FAM83H	GTSE1
HDAC11	FBLN2
FBLN2	HDAC11
MCF2L	YAE1D1
YAE1D1	MCF2L
ALK	ZC3HC1
ZC3HC1	ALK
ACTB	NEBL
ELK3	NCK1
NCK1	ELK3
HOXD3	ALX4
ALX4	HOXD3
APC	RPL5
RPL5	APC
NCOR2	RUNX1
NCK1	CPNE5
CPNE5	NCK1
DLG1	GRIK2
REL	ZBTB16
ZBTB16	REL
EBF1	RNF145
RNF145	EBF1
CTBP2	KIF16B
KIF16B	CTBP2
TTI1	VSIG2
VSIG2	TTI1
RP11-734I18.1	PCDH7
FGFR1OP	CEP19
CEP19	FGFR1OP
CCL22	HSPA12A
HSPA12A	CCL22
WRN	RAD52
ZBTB46	C20orf195
C20orf195	ZBTB46
C1orf131	GNPAT
DPYD	GOPC
GOPC	DPYD
PLAT	CPEB4
CPEB4	PLAT
GC	NPFFR2
ADCY5	PDE9A
RPS16	TNFRSF1A
TNFRSF1A	RPS16
CDKN2B-AS1	CDKN2C
TNIK	NANS
NANS	TNIK
CDKN2B-AS1	AGGF1
MAX	PHLPP1
PHLPP1	MAX
LIPC	APOB
RAB20	CARS2
CARS2	RAB20
PAG1	CLPB
CLPB	PAG1
ACTN4	LNX1
LNX1	ACTN4
PCBP1	CDC37
CDC37	PCBP1
RGS3	PARK2
MBIP	CCDC85B
KRAS	ATP6V1D
ATP6V1D	KRAS
RBPMS	C11orf87
C11orf87	RBPMS
KANK2	ZNF648
ZNF648	KANK2
GIGYF2	INPP5D
INPP5D	GIGYF2
MAP2K5	YWHAZ
YWHAZ	MAP2K5
PLEC	PLEKHA5
PLEKHA5	PLEC
CDKN2A	MYO1C
MYO1C	CDKN2A
MLH1	NDUFS8
NDUFS8	MLH1
ZBTB25	ZBTB1
IQGAP1	UNC45A
SMARCE1	DPF3
DPF3	SMARCE1
KIF13B	ASB7
ASB7	KIF13B
FYB	CBLB
ALDH3A2	XPO4
XPO4	ALDH3A2
DLX6-AS1	DYNC1I1
snoU13	BDH1
YWHAZ	CMPK1
CMPK1	YWHAZ
TRIM29	CDK15
CDK15	TRIM29
CCNYL1	PLEKHM3
PLEKHM3	CCNYL1
CISD2	BDH2
APC	BUB3
BUB3	APC
JAKMIP2	TRIM29
TRIM29	JAKMIP2
SLC35F2	FAM134C
FAM134C	SLC35F2
WWP1	ILDR1
ILDR1	WWP1
BDKRB2	PRKCB
PRKCB	BDKRB2
SNRPB	IGF2BP3
IGF2BP3	SNRPB
P4HA2	RAVER1
RAVER1	P4HA2
GDF15	LSM4
LSM4	GDF15
NCK1	SYNJ2
SYNJ2	NCK1
MYO1C	SORBS2
SORBS2	MYO1C
IGF1R	EEA1
EEA1	IGF1R
