AC021016.8	USP37
CANX	MAPK13
MAPK13	CANX
ENO3	PKLR
PKLR	ENO3
PTK2B	SNCA
NCAPH2	TIGD5
TIGD5	NCAPH2
PDXDC1	CD244
CD244	PDXDC1
MLC1	DAPK2
DAPK2	MLC1
KRAS	TWIST1
TWIST1	KRAS
PARP1	TCF7L2
TCF7L2	PARP1
ARF1	TMED2
SIPA1	LIMA1
LIMA1	SIPA1
AL163953.3	PTGER2
KIAA0922	RNF175
H19	MYC
GPR176	PAK6
PAK6	GPR176
TYK2	TNFRSF19
TNFRSF19	TYK2
PRODH	PYCRL
PYCRL	PRODH
SRSF4	CWC22
CWC22	SRSF4
FGF8	CDK12
CDK12	FGF8
FHL5	FARS2
FARS2	FHL5
DNAJB1	FANCC
RPS9	PABPC1
PABPC1	RPS9
NR3C1	CEBPA
PAPD5	SNX20
SNX20	PAPD5
SPECC1L	MYO18A
MYO18A	SPECC1L
CIC	DEDD2
DEDD2	CIC
GPD2	NUFIP1
NUFIP1	GPD2
PSCA	THEM6
ANKRD16	SPRED2
SPRED2	ANKRD16
HSPA4	SGTA
SGTA	HSPA4
DVL1	CPSF3L
CPSF3L	DVL1
Y_RNA	DNMT3A
TLX2	M1AP
M1AP	TLX2
RHOA	RIPK4
RIPK4	RHOA
PTEN	PXN
PXN	PTEN
PRKACA	ULK2
APOD	HAX1
HAX1	APOD
MEOX1	QRICH1
QRICH1	MEOX1
SLC29A1	SLC18A1
SLC18A1	SLC29A1
RPL38	TRAF6
TRAF6	RPL38
PBX1	EFHC1
EFHC1	PBX1
NUP98	CHMP4B
CHMP4B	NUP98
MPDZ	AMOTL1
AMOTL1	MPDZ
STK25	MOB4
MOB4	STK25
YWHAZ	STK25
STK25	YWHAZ
RUNX1T1	SPRY2
SPRY2	RUNX1T1
ADAR	SESN2
SESN2	ADAR
RBBP5	RPL37A
RPL37A	RBBP5
APOA1	KRT1
KRT1	APOA1
PIF1	RBPMS2
RBPMS2	PIF1
TRA2B	SNRPC
SNRPC	TRA2B
EEF1A1	YWHAZ
YWHAZ	EEF1A1
ABI2	RAPH1
RAPH1	ABI2
MIS12	WSCD1
WSCD1	MIS12
UBE3A	HIF1AN
HIF1AN	UBE3A
PPP2CA	SPRY2
SPRY2	PPP2CA
TCF7L2	VTI1A
TMEM120B	MLXIP
MLXIP	TMEM120B
TMEM151A	PACS1
COPE	METAP2
METAP2	COPE
SLC25A3	SYNE1
SYNE1	SLC25A3
CDKN1A	FXR1
FXR1	CDKN1A
GEMIN2	DDX47
DDX47	GEMIN2
HUS1	POLE
POLE	HUS1
HDAC2	CDH1
MUS81	ZNF142
ZNF142	MUS81
TP73	TMEM135
TMEM135	TP73
SKP2	TCF3
MDFI	RAC1
RAC1	MDFI
MALAT1	CASP9
FSCN1	RNF216
RNF216	FSCN1
RP11-678G14.3	RP11-678G14.4
RP11-678G14.4	RP11-678G14.3
EP300	IGF2BP1
IGF2BP1	EP300
CSF3R	FTH1
KRAS	CPSF1
CPSF1	KRAS
AFAP1-AS1	EYA4
IQGAP1	ACTB
RADIL	FBXL18
FBXL18	RADIL
UBE2D2	UBE4A
UBE4A	UBE2D2
RDX	SLC9A3R2
SLC9A3R2	RDX
ADRBK1	SRC
CTD-2006C1.2	ZNF440
MYH9	PALM
PALM	MYH9
TAF4	TAF6
TAF6	TAF4
MCC	HYOU1
HYOU1	MCC
OPN3	WDR64
WDR64	OPN3
BCAM	TMEM11
TMEM11	BCAM
TFAP2A	CITED2
CRHR1	GNAS
PRPF4B	LSM4
LSM4	PRPF4B
RP11-264B17.3	SH2B1
DRD4	KCNJ3
KCNJ3	DRD4
MAP3K14	RPS13
JUP	CORO1C
CORO1C	JUP
RAB11A	KAT2B
SRC	DGKA
MRPS28	MRPL21
MRPL21	MRPS28
MDM4	USP7
FBXO24	PCOLCE
PCOLCE	FBXO24
SPTBN1	RTN4
RTN4	SPTBN1
KRAS	RPS29
RPS29	KRAS
RAB11A	RAB3IL1
LLGL2	ARMC7
ARMC7	LLGL2
LMNA	NUP153
NUP153	LMNA
ATXN3	OTUB2
OTUB2	ATXN3
PTPN11	CBL
MYO1C	EIF3B
EIF3B	MYO1C
MEOX1	UBE2R2
UBE2R2	MEOX1
APC	AMOTL1
AMOTL1	APC
SQSTM1	OSBPL8
OSBPL8	SQSTM1
IMPA2	ISYNA1
ISYNA1	IMPA2
MKL1	CHADL
CHADL	MKL1
EIF2B1	SORT1
SORT1	EIF2B1
MOV10	RPS13
RPS13	MOV10
APC	HSPA5
HSPA5	APC
PJA2	MAN2A1
MAN2A1	PJA2
DUSP1	MAPK12
MAPK12	DUSP1
ING2	SMURF1
TMED2	TMUB1
TMUB1	TMED2
NANS	TRIM14
TRIM14	NANS
ZNF517	ZNF34
MCRS1	LZTS1
LZTS1	MCRS1
MAPK14	MAP2K6
MAP2K6	MAPK14
PI4KA	SDR9C7
SDR9C7	PI4KA
FUT8	MTF2
MTF2	FUT8
EDN3	EDNRA
EDNRA	EDN3
SF3B4	PHF5A
PHF5A	SF3B4
CDKN2B-AS1	MEGF6
ATXN1	RBPMS
GRB2	TPM1
TPM1	GRB2
PTPN11	STAT5B
ZFP36L1	MAPK14
MAPK14	ZFP36L1
DFNB31	MYO7A
TRAF6	PABPC1
PABPC1	TRAF6
TNFRSF1B	TRAF2
RAC1	FMNL1
GRB2	VPS13A
VPS13A	GRB2
JAK2	PTPRC
MAFF	NR3C1
OXCT1	HADH
ELF1	KIR3DL1
KIR3DL1	ELF1
PDCD1	RPS27L
RPS27L	PDCD1
ARMC7	SLC16A5
SLC16A5	ARMC7
DYNLL1	PHLDB2
PHLDB2	DYNLL1
TRAF2	C20orf195
C20orf195	TRAF2
FLNB	PLEC
PLEC	FLNB
PEX19	B3GALT6
B3GALT6	PEX19
RHOA	PPP1R12A
TNFAIP3	YWHAG
DDX5	SF3B1
SF3B1	DDX5
GNL3	WDR18
WDR18	GNL3
PPM1G	DHX38
DHX38	PPM1G
PLCG2	PLCB1
PLCB1	PLCG2
KIF9	KLHL18
KLHL18	KIF9
CSK	SLC25A12
SLC25A12	CSK
SRC	NCKIPSD
NCKIPSD	SRC
RPL23	DICER1
DICER1	RPL23
SLC25A48	TIFAB
TIFAB	SLC25A48
RXRA	APOA1
ATG4D	DNM2
DNM2	ATG4D
SRRM1	PUF60
PUF60	SRRM1
B3GNT1	GPRC5C
GPRC5C	B3GNT1
UST	XYLT2
XYLT2	UST
DLG2	ABCA1
TFF1	ZNF250
ZNF250	TFF1
RPS7	CUL1
CUL1	RPS7
XRN2	DCP2
DCP2	XRN2
PLAUR	WIPI2
WIPI2	PLAUR
MCPH1	AGPAT5
AGPAT5	MCPH1
UPF1	RPL37A
RPL37A	UPF1
L34079.2	PSG5
PSG5	L34079.2
PRKCZ	TAGLN
TAGLN	PRKCZ
VPS11	UBE2U
UBE2U	VPS11
SMAD2	MED24
MED24	SMAD2
RPS13	SART3
SART3	RPS13
INSM2	NFKBIA
NFKBIA	INSM2
YOD1	CD55
CD55	YOD1
RUVBL1	NOP58
NOP58	RUVBL1
RBBP5	TMCC2
TMCC2	RBBP5
CAPZA2	ITPR2
ITPR2	CAPZA2
GLYAT	GLYATL1
GLYATL1	GLYAT
AC007163.6	BZW1
LLGL2	PPFIA1
PPFIA1	LLGL2
RPL37A	SYNE1
SYNE1	RPL37A
CCDC88A	PARD3
PARD3	CCDC88A
RP11-48F14.1	TRA2B
RHOA	TNFRSF10B
TNFRSF10B	RHOA
ITGB7	RABGAP1
RABGAP1	ITGB7
RPS23	SF3B2
SF3B2	RPS23
CDCA7L	DEDD2
DEDD2	CDCA7L
RPS9	RBM28
RBM28	RPS9
SYT1	SNAP25
