AC021016.8	USP37
UBA3	APIP
APIP	UBA3
CDKN2B-AS1	ADAMTS1
RPS3A	DDIT3
ENO3	PKLR
PKLR	ENO3
PTK2B	SNCA
RP11-15D14.2	FAR1
FAR1	RP11-15D14.2
SKIV2L2	CTNNBL1
CTNNBL1	SKIV2L2
RSPRY1	NLRC5
NLRC5	RSPRY1
TBK1	NFKBIA
ECT2L	REPS1
PNLIP	ZNF787
ZNF787	PNLIP
BCLAF1	MAP3K5
MAP3K5	BCLAF1
PARP1	TCF7L2
TCF7L2	PARP1
SIPA1	LIMA1
LIMA1	SIPA1
CYP4V2	SORBS2
SORBS2	CYP4V2
KIAA0922	RNF175
OVOL1	RNASEH2C
TYK2	TNFRSF19
TNFRSF19	TYK2
PRKAR1B	RAPGEF5
RAPGEF5	PRKAR1B
HDAC2	SYMPK
SYMPK	HDAC2
FHL5	FARS2
FARS2	FHL5
CAND1	SLX4
SLX4	CAND1
SORBS2	WASL
WASL	SORBS2
KIAA0753	SLC13A5
SLC13A5	KIAA0753
PAK2	LIMK1
GPD2	NUFIP1
NUFIP1	GPD2
HSPA4	SGTA
SGTA	HSPA4
STX11	STX8
STX8	STX11
SUMO2	GGA3
PLEC	PPP2R1A
PPP2R1A	PLEC
MARK2	UTRN
UTRN	MARK2
Y_RNA	DNMT3A
UBASH3A	SH3RF1
SH3RF1	UBASH3A
CPM	CHMP4B
CHMP4B	CPM
ITGA3	LGALS8
P2RX5	TMEM131
TMEM131	P2RX5
PTEN	PXN
PXN	PTEN
APOD	HAX1
HAX1	APOD
SLC29A1	SLC18A1
SLC18A1	SLC29A1
GPR37	PPP2R5D
PPP2R5D	GPR37
CDK14	YWHAE
YWHAE	CDK14
KRT18	MAPKAPK2
MAPKAPK2	KRT18
PBX1	EFHC1
EFHC1	PBX1
FOS	NCOA6
NCOA6	FOS
SOD2	ACAD8
ACAD8	SOD2
WIPI1	ESR1
ADCY1	PDE3B
PDE3B	ADCY1
ACTG1	VIL1
CCT2	TBK1
TBK1	CCT2
NRF1	FXR2
GSK3B	STRAP
STRAP	GSK3B
TAGLN2	IKBKE
IKBKE	TAGLN2
TFG	IMPG2
IMPG2	TFG
MRPS23	MRPS5
MRPS5	MRPS23
DNAJC1	MSRB2
MSRB2	DNAJC1
SERTAD2	TRIM28
TRIM28	SERTAD2
ST3GAL2	COG4
DLD	MTHFD1L
MTHFD1L	DLD
RPL4	RPS6
RPS6	RPL4
BID	CASP10
CASP10	BID
ABI2	RAPH1
RAPH1	ABI2
AC012314.20	AC008984.2
AC008984.2	AC012314.20
MSANTD2	VSIG2
TCF7L2	VTI1A
VTI1A	TCF7L2
VEGFA	CAPN11
CAPN11	VEGFA
SFRP1	WNT4
ATP6V1B2	PTPN1
PTPN1	ATP6V1B2
RP1-317E23.3	RP11-70P17.1
RP11-70P17.1	RP1-317E23.3
TMEM151A	PACS1
COPE	METAP2
METAP2	COPE
TP53	CREB1
SNX15	SLC25A45
SLC25A45	SNX15
RPL31	RPL32
RPL32	RPL31
NID2	ZNF581
ZNF581	NID2
HDAC2	CDH1
PPARA	MECR
SKP2	TCF3
SH3BP2	DBNL
DBNL	SH3BP2
MEOX2	SAE1
SAE1	MEOX2
COL1A2	ITPKC
RASA3	TMCO3
TMCO3	RASA3
KRT13	FBF1
FBF1	KRT13
EIF4G1	MED28
MED28	EIF4G1
PECR	XRCC5
MYH7	POLD1
POLD1	MYH7
NEDD8	USP13
USP13	NEDD8
RYK	WNT3A
RAD50	XRCC5
ADRBK1	SRC
USF2	PPRC1
PPRC1	USF2
RPL15	TBL2
TBL2	RPL15
WDR64	OPN3
CD70	UCKL1
UCKL1	CD70
TFAP2A	CITED2
CRHR1	GNAS
PRPF4B	LSM4
LSM4	PRPF4B
VPS51	VPS53
VPS53	VPS51
HVCN1	ARPC3
PRPF18	CPSF6
CPSF6	PRPF18
ACTG1	DNASE1
DNASE1	ACTG1
RP11-218M22.1	FBXL14
UNC13A	FCHO1
FCHO1	UNC13A
RAB11A	RAB3IL1
HNRNPL	NAT10
NAT10	HNRNPL
LMNA	NUP153
NUP153	LMNA
PTPN11	CBL
MYO1C	EIF3B
EIF3B	MYO1C
GSTM5	AMOTL2
AMOTL2	GSTM5
GPI	PIK3CG
PIK3CG	GPI
ACTR2	CCT4
CCT4	ACTR2
SNRPB2	DHX35
DHX35	SNRPB2
IMPA2	ISYNA1
ISYNA1	IMPA2
HSP90AA1	AIP
AIP	HSP90AA1
MAN2A1	PJA2
CFTR	HSPA7
HSPA7	CFTR
CDKN1B	KPNA5
OLFM4	NID2
NID2	OLFM4
RBM4B	MRPS9
MCRS1	LZTS1
LZTS1	MCRS1
LRP1	TUBB4A
TUBB4A	LRP1
NUSAP1	DNAJC17
DNAJC17	NUSAP1
MRPL41	TIMELESS
TIMELESS	MRPL41
PIAS1	SF3B3
SF3B3	PIAS1
TEK	GRB14
MYO1A	BAZ1B
BAZ1B	MYO1A
MRPS18A	MRPS9
MRPS9	MRPS18A
KANSL3	ITPRIPL1
PELO	TIMM50
TIMM50	PELO
HNRNPD	TBL1XR1
TBL1XR1	HNRNPD
UTP6	RAB11FIP4
RAB11FIP4	UTP6
ZNF207	DNAJC8
DNAJC8	ZNF207
ILF3	TBL2
TBL2	ILF3
CTD-2313J23.1	RBBP6
EPOR	PLCG1
GPX7	FARSB
FARSB	GPX7
PRKCI	MAP1LC3B
MAP1LC3B	PRKCI
ERBB2	RRM2
RRM2	ERBB2
FLNB	PLEC
PLEC	FLNB
USP2	EXOC5
EXOC5	USP2
LAT	MFF
MFF	LAT
SUPT3H	CLIC6
CLIC6	SUPT3H
KRT34	SMARCE1
SMARCE1	KRT34
TFCP2	IRAK1BP1
IRAK1BP1	TFCP2
DDX5	SF3B1
SF3B1	DDX5
MEOX2	MOAP1
MOAP1	MEOX2
PPM1G	DHX38
DHX38	PPM1G
NUP37	KPNB1
GSK3B	UPF3A
POLDIP3	CYB5D2
CYB5D2	POLDIP3
FPR2	SYNGR2
SYNGR2	FPR2
RXRA	APOA1
FXR2	IGFN1
IGFN1	FXR2
C1orf35	GKAP1
GKAP1	C1orf35
RASSF7	DISC1
DISC1	RASSF7
HNF1A	DYRK1B
DYRK1B	HNF1A
SRRM1	PUF60
PUF60	SRRM1
TBL1XR1	LIN54
LIN54	TBL1XR1
ADD1	TPM3
TPM3	ADD1
B3GNT1	GPRC5C
GPRC5C	B3GNT1
RUNX2	MMP13
DLG2	ABCA1
SHC1	CORO2B
CORO2B	SHC1
LGALS12	PRKD2
PRKD2	LGALS12
XRN2	DCP2
DCP2	XRN2
CKS2	IKZF5
IKZF5	CKS2
CSNK1A1	LRP6
LRP6	CSNK1A1
ANKRD52	FAM19A3
FAM19A3	ANKRD52
AGPAT5	MCPH1
NDUFB2	UQCRQ
UQCRQ	NDUFB2
RPS6	TOP1
TOP1	RPS6
INSM2	NFKBIA
NFKBIA	INSM2
LINC00271	MTFR2
BCL2L1	RAD9A
SORBS2	LIMA1
LIMA1	SORBS2
RBX1	KRTAP12-2
KRTAP12-2	RBX1
CAPZA2	ITPR2
ITPR2	CAPZA2
ODC1	SRM
RP11-677M14.2	MSANTD2
MRPS14	MRPL40
MRPL40	MRPS14
MBIP	CSRP2BP
GLG1	DKK3
DKK3	GLG1
GLYAT	GLYATL1
GLYATL1	GLYAT
TRPC6	SRC
AC007163.6	BZW1
PCBP2	DICER1
DICER1	PCBP2
TFRC	IKBKE
IKBKE	TFRC
USP34	AC108039.1
AC108039.1	USP34
TCEA2	KRTAP12-2
KRTAP12-2	TCEA2
PWP2	TOM1L1
TOM1L1	PWP2
DLD	PDHB
PDHB	DLD
ITGB7	RABGAP1
RABGAP1	ITGB7
RPS9	RBM28
RBM28	RPS9
SYT1	SNAP25
HERPUD1	UBQLN1
UBQLN1	HERPUD1
CARD10	ZNF775
ZNF775	CARD10
BRAF	RPS6KA2
RPS6KA2	BRAF
KCNA10	C1orf43
C1orf43	KCNA10
AXIN2	KAT5
KAT5	AXIN2
MAP2K7	ERC1
ERC1	MAP2K7
SLC50A1	IL6R
IL6R	SLC50A1
MYH10	IKBKE
IKBKE	MYH10
KIAA0195	LYPD3
LYPD3	KIAA0195
RPL15	WDR18
WDR18	RPL15
TBPL2	LGALS3
FBXW7	CDH19
CDH19	FBXW7
CENPF	COG6
COG6	CENPF
KAT6A	PHF14
PHF14	KAT6A
KRT33B	KRT86
KRT86	KRT33B
CHRM2	GNA11
HMGCR	TRAPPC12
TRAPPC12	HMGCR
EZR	AHNAK
AHNAK	EZR
YWHAE	YWHAQ
YWHAQ	YWHAE
HDAC2	MBD2
ALX4	PARVG
PARVG	ALX4
FHL2	ZFYVE9
RP11-422P24.11	CREB3L4
HSPA8	TOMM40
TOMM40	HSPA8
CHD4	ZMYM2
ZMYM2	CHD4
CRMP1	SNRPG
GPBAR1	PNKD
AC002398.11	NFKBID
PCAT1	MYC
NTF3	NTRK3
NTRK3	NTF3
NACA	LRIF1
LRIF1	NACA
NRAS	YKT6
YKT6	NRAS
MAP3K12	PCBP2
PCBP2	MAP3K12
NEURL3	STARD7
ANXA3	IGSF21
RUSC1	MOAP1
MOAP1	RUSC1
ALDH2	ALDH1A2
ALDH1A2	ALDH2
LZTS2	RNF32
RNF32	LZTS2
MT3	SLC12A3
SLC12A3	MT3
SMARCA4	RFXAP
CAD	TRADD
TRADD	CAD
PPP2CA	NME1-NME2
NME1-NME2	PPP2CA
LEO1	RPA3
RPA3	LEO1
MOV10	ZC3HAV1
ZC3HAV1	MOV10
VIM	CWF19L2
CWF19L2	VIM
ITM2B	CHST12
CHST12	ITM2B
SGCE	ASB4
ASB4	SGCE
CDKN2B-AS1	RNLS
REL	HSD17B14
HSD17B14	REL
PHLPP2	IST1
RPL4	TRIM9
TRIM9	RPL4
RAN	SAP30
SAP30	RAN
UNC13A	EPB41L3
EPB41L3	UNC13A
MET	PCBD2
PCBD2	MET
RIPK3	MLKL
ATXN7	SUPT3H
SUPT3H	ATXN7
ABI1	FBXL19
FBXL19	ABI1
BACE1	PLSCR1
NPBWR2	KRT31
KRT31	NPBWR2
HRH1	PRKACB
PRKACB	HRH1
WDR12	BMPR2
SLC16A7	FAM19A2
FAM19A2	SLC16A7
CEBPA	AK3
AK3	CEBPA
PDIA3	LAMB3
LAMB3	PDIA3
SWSAP1	ELAVL3
ELAVL3	SWSAP1
PRKAR2B	NAA25
NAA25	PRKAR2B
RPS9	SRSF10
SRSF10	RPS9
POLR1C	RPAP1
RPAP1	POLR1C
DYNC1I1	FBP1
AC012314.20	RPS9
SSR1	SIRT1
SIRT1	SSR1
IGF2BP1	MRPS5
MRPS5	IGF2BP1
APOH	PRKCA
LGALS8	LRRC8E
LRRC8E	LGALS8
APOA1	NLRP1
NLRP1	APOA1
CDKN2B-AS1	RFNG
MS4A1	CD81
CD81	MS4A1
HSPA8	VIM
VIM	HSPA8
CYP4X1	PDZK1IP1
CERK	TBC1D22A
TNN	MRPS14
TOM1L1	UBXN4
UBXN4	TOM1L1
SLC14A2	CMTM7
CMTM7	SLC14A2
ALDH2	C14orf1
ADCK3	CDC42BPA
NOP2	CDCA7L
CDCA7L	NOP2
TNFAIP3	RNF166
RNF166	TNFAIP3
TMEM63A	GHITM
GHITM	TMEM63A
PMCH	PCSK2
ORC1	PHIP
PHIP	ORC1
NEUROG3	ZNF593
ZNF593	NEUROG3
SETD5	BRPF1
BRPF1	SETD5
SSBP3	SS18L1
SS18L1	SSBP3
IL6R	SRC
CLINT1	STON2
STON2	CLINT1
ARPC3	ARPC2
ARPC2	ARPC3
RPL13A	NOP58
NOP58	RPL13A
AC138430.4	MEF2B
SERTAD4	ZFP1
ZFP1	SERTAD4
CCNA1	PSMD6
PSMD6	CCNA1
C2orf76	SCTR
SCTR	C2orf76
SNRPG	SKIV2L2
SKIV2L2	SNRPG
POP4	PPP1R15A
PPP1R15A	POP4
RP1-18D14.7	CYP4X1
HOTAIR	NBAS
HNF1A	TLE1
TLE1	HNF1A
SMARCE1	BRMS1
BRMS1	SMARCE1
RP11-97O12.2	ABHD2
KCTD3	KCTD15
KCTD15	KCTD3
SPCS2	NRN1
NRN1	SPCS2
CTD-3214H19.4	ARHGEF18
ARHGEF18	CTD-3214H19.4
SIRT5	GBP6
GBP6	SIRT5
NAPG	STX8
STX8	NAPG
TAB2	MAP3K7
CEP63	FBF1
FBF1	CEP63
NUP153	SMAD3
MBP	BMP2K
BMP2K	MBP
MYO1C	TMOD3
TMOD3	MYO1C
RP11-389K14.3	RP11-555F9.2
RP11-555F9.2	RP11-389K14.3
RAB2A	SAR1A
SAR1A	RAB2A
SLC27A6	CUTC
MAP3K4	SRPR
SRPR	MAP3K4
KMT2B	ZBTB32
TTLL4	SLC11A1
SLC11A1	TTLL4
SMARCA5	CBX8
CBX8	SMARCA5
PON2	SMOC1
SMOC1	PON2
VIM	TUBGCP4
TMBIM6	RACGAP1
CDC5L	ZRANB1
ZRANB1	CDC5L
LRRC8B	LMBR1
LMBR1	LRRC8B
DDX50	SLC25A16
SLC25A16	DDX50
EIF4B	RPL38
RPL38	EIF4B
CREB3L3	MAP2K2
MAP2K2	CREB3L3
NTRK2	PLCG1
MAP3K10	SH3RF1
NUP43	TIMELESS
TIMELESS	NUP43
AP006216.5	PAFAH1B2
HSPA4	APPBP2
APPBP2	HSPA4
MARS	MYO1A
MYO1A	MARS
RAN	IPO9
IPO9	RAN
APLNR	TUBGCP4
TUBGCP4	APLNR
DLG1	EPB41
LRRC37B	OMG
OMG	LRRC37B
C14orf1	CREB1
SHC1	AP2A2
UQCRFS1	TUSC3
TUSC3	UQCRFS1
LGALS7	TUBA4A
TUBA4A	LGALS7
KPNA4	KAT5
KAT5	KPNA4
DNM1L	HAX1
